GranuleUR,BeginningDateTime,EndingDateTime,WestBoundingCoordinate,NorthBoundingCoordinate,EastBoundingCoordinate,SouthBoundingCoordinate,TreeHeightMeasurementStatus,BreastHeightMeasurementStatus,BreastHeight,MinimumDiameterMeasured,StemMappedStatus,BreastHeightModeledStatus,DatasetStatus,DataFormat,Geolocated,AcquisitionType,PFTMODIS,WWFEcoregion,SpatialResolution,NumberOfPlots,PlotArea,SubplotSize,ProductionDateTime,SizeMBDataGranule,DayNightFlag
gedicalval_plotdata_australia_ausplotsforests_20200924_r03.csv,2012-01-23T00:00:00Z,2015-02-04T23:59:59Z,111.2892479,-30.0833467,155.7179351,-43.10310248,NA,FALSE,NA,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees;Evergreen Needleleaf trees,Eastern Australian temperate forests;Southeast Australia temperate forests;Tasmanian temperate forests;Tasmanian temperate rain forests;Tasmanian Central Highland forests;Jarrah-Karri forest and shrublands,10,43,10,0.625,2020-09-24T12:00:00Z,0.501126289,Unspecified
gedicalval_plotdata_australia_ilcp2015_20200904_r03.csv,2015-08-17T00:00:00Z,2015-08-21T23:59:59Z,142.3844159,-25.40034326,147.6189914,-25.78954077,NA,FALSE,NA,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees,Brigalow tropical savanna,2.5,4,2.5,NA,2020-09-04T12:00:00Z,0.00288105,Unspecified
gedicalval_plotdata_australia_robsoncreek_20200904_r03.csv,2009-01-01T00:00:00Z,2009-01-01T23:59:59Z,145.6299423,-17.1178027,145.6346743,-17.12235288,NA,FALSE,NA,0.1,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Queensland tropical rain forests,250,1,250,NA,2020-09-04T12:00:00Z,0.001562119,Unspecified
gedicalval_plotdata_canada_abovenwt_20200904_r03.csv,2016-07-09T00:00:00Z,2016-08-08T23:59:59Z,-119.4199306,62.50101652,-108.2952046,60.74806331,NA,FALSE,NA,0.003,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Barren or sparse vegetation;Deciduous Broadleaf trees;Shrub,Muskwa-Slave Lake forests;Mid-Continental Canadian forests;Northern Canadian Shield taiga;Northwest Territories taiga,0.1,99,0.1,NA,2020-09-04T12:00:00Z,0.062978745,Unspecified
gedicalval_plotdata_canada_saskatchewan_20200904_r03.csv,2016-06-20T00:00:00Z,2019-08-27T23:59:59Z,-107.9815384,54.3113785,-102.7058084,52.85062469,NA,FALSE,NA,0.1,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Deciduous Broadleaf trees;Evergreen Needleleaf trees;Grass;Cereal crops;Deciduous Needleleaf trees,Canadian Aspen forests and parklands;Mid-Continental Canadian forests,0.4,289,0.4,NA,2020-09-04T12:00:00Z,0.692456245,Unspecified
gedicalval_plotdata_gabon_mondah_20200904_r03.csv,2016-02-01T00:00:00Z,2016-02-01T23:59:59Z,9.315750718,0.617389678,9.422970564,0.53820928,NA,FALSE,NA,0.01,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Central African mangroves,10,15,10,0.625,2020-09-04T12:00:00Z,0.168379784,Unspecified
gedicalval_plotdata_italy_sella_20200904_r03.csv,2008-07-31T00:00:00Z,2008-07-31T23:59:59Z,11.42358321,46.00381109,11.42717661,46.00126772,NA,FALSE,NA,0.01,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees,Alps conifer and mixed forests,48.44992379,1,48.44992379,NA,2020-09-04T12:00:00Z,0.003192902,Unspecified
gedicalval_plotdata_panama_bci_20200904_r03.csv,2010-01-18T00:00:00Z,2010-01-18T23:59:59Z,-85.31214314,9.155783507,-79.84604401,9.127435701,NA,FALSE,NA,0.01,TRUE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Broadleaf trees,Isthmian-Atlantic moist forests,500,1,500,NA,2020-09-04T12:00:00Z,0.001192093,Unspecified
gedicalval_plotdata_usa_bnzlter_20201028_r03.csv,2004-07-21T00:00:00Z,2014-09-29T23:59:59Z,-155.753285,66.26568441,-144.0494709,63.69562989,NA,FALSE,NA,0.1,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Grass;Deciduous Broadleaf trees,Interior Alaska-Yukon lowland taiga;Interior Yukon-Alaska alpine tundra,1.2,99,1.2,0.1,2020-10-28T12:00:00Z,1.246863365,Unspecified
gedicalval_plotdata_usa_cafi_20201028_r03.csv,1994-07-06T00:00:00Z,2017-06-16T23:59:59Z,-155.9724478,65.43009286,-138.0018874,60.109316,NA,FALSE,NA,0.00254,FALSE,NA,MAAP Standard Data Product,CSV,TRUE,In Situ Field,Evergreen Needleleaf trees;Deciduous Broadleaf trees;Grass;Shrub,Interior Alaska-Yukon lowland taiga;Interior Yukon-Alaska alpine tundra;Alaska-St. Elias Range tundra;Copper Plateau taiga;Pacific Coastal Mountain icefields and tundra;Cook Inlet taiga,0.404685642,550,0.404685642,NA,2020-10-28T12:00:00Z,0.913488388,Unspecified
