GranuleURPrefix,Year,BeginningDateTime,EndingDateTime
usa_neonbarr,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neonbarr,2018,2018-07-01T00:00:00Z,2018-07-31T23:59:59Z
usa_neonbarr,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neonbart,2014,2014-06-01T00:00:00Z,2014-06-30T23:59:59Z
usa_neonbart,2016,2016-08-01T00:00:00Z,2016-08-31T23:59:59Z
usa_neonbart,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neonbart,2018,2018-08-01T00:00:00Z,2018-08-31T23:59:59Z
usa_neonbart,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neonblan,2016,2016-08-01T00:00:00Z,2016-08-31T23:59:59Z
usa_neonblan,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neonblan,2019,2019-05-01T00:00:00Z,2019-05-31T23:59:59Z
usa_neonbona,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neonbona,2018,2018-08-01T00:00:00Z,2018-08-31T23:59:59Z
usa_neonbona,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neoncper,2013,2013-06-01T23:59:59Z,2013-06-30T23:59:59Z
usa_neondeju,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neondeju,2018,2018-08-01T00:00:00Z,2018-08-31T23:59:59Z
usa_neondeju,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neondela,2018,2018-04-01T23:59:59Z,2018-04-30T23:59:59Z
usa_neondsny,2014,2014-05-01T00:00:00Z,2014-05-31T23:59:59Z
usa_neondsny,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neondsny,2017,2017-09-01T00:00:00Z,2017-09-30T23:59:59Z
usa_neondsny,2018,2018-10-01T00:00:00Z,2018-10-31T23:59:59Z
usa_neondsny,2019,2019-04-01T00:00:00Z,2019-04-30T23:59:59Z
usa_neongrsm,2015,2015-08-01T00:00:00Z,2015-08-31T23:59:59Z
usa_neongrsm,2016,2016-06-01T00:00:00Z,2016-06-30T23:59:59Z
usa_neongrsm,2017,2017-10-01T00:00:00Z,2017-10-31T23:59:59Z
usa_neongrsm,2018,2018-05-01T00:00:00Z,2018-05-31T23:59:59Z
usa_neonguan,2018,2018-05-01T00:00:00Z,2018-05-31T23:59:59Z
usa_neonharv,2014,2014-06-01T00:00:00Z,2014-06-30T23:59:59Z
usa_neonharv,2016,2016-08-01T00:00:00Z,2016-08-31T23:59:59Z
usa_neonharv,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neonharv,2018,2018-09-01T00:00:00Z,2018-09-30T23:59:59Z
usa_neonharv,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neonheal,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neonheal,2018,2018-08-01T00:00:00Z,2018-08-31T23:59:59Z
usa_neonheal,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neonjerc,2014,2014-05-01T00:00:00Z,2014-05-31T23:59:59Z
usa_neonjerc,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neonjerc,2017,2017-09-01T00:00:00Z,2017-09-30T23:59:59Z
usa_neonjerc,2018,2018-09-01T00:00:00Z,2018-09-30T23:59:59Z
usa_neonjerc,2019,2019-08-01T00:00:00Z,2019-08-31T23:59:59Z
usa_neonkonz,2016,2016-07-01T00:00:00Z,2016-07-31T23:59:59Z
usa_neonkonz,2017,2017-06-01T00:00:00Z,2017-06-30T23:59:59Z
usa_neonkonz,2018,2018-06-01T00:00:00Z,2018-06-30T23:59:59Z
usa_neonkonz,2019,2019-06-01T00:00:00Z,2019-06-30T23:59:59Z
usa_neonkonz,2020,2020-06-01T00:00:00Z,2020-06-30T23:59:59Z
usa_neonlaja,2018,2018-05-01T00:00:00Z,2018-05-31T23:59:59Z
usa_neonleno,2015,2013-07-01T23:59:59Z,2013-07-31T23:59:59Z
usa_neonmlbs,2015,2015-08-01T00:00:00Z,2015-08-31T23:59:59Z
usa_neonmlbs,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neonmlbs,2018,2018-05-01T00:00:00Z,2018-05-31T23:59:59Z
usa_neonornl,2016,2016-01-01T00:00:00Z,2016-12-31T23:59:59Z
usa_neonosbs,2014,2014-05-01T00:00:00Z,2014-05-31T23:59:59Z
usa_neonosbs,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neonosbs,2017,2017-09-01T00:00:00Z,2017-09-30T23:59:59Z
usa_neonosbs,2018,2018-09-01T00:00:00Z,2018-09-30T23:59:59Z
usa_neonosbs,2019,2013-04-01T23:59:59Z,2013-04-30T23:59:59Z
usa_neonrmnp,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neonrmnp,2018,2018-09-01T00:00:00Z,2018-09-30T23:59:59Z
usa_neonscbi,2016,2016-07-01T00:00:00Z,2016-07-31T23:59:59Z
usa_neonscbi,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neonscbi,2019,2019-05-01T00:00:00Z,2019-05-31T23:59:59Z
usa_neonserc,2016,2016-07-01T00:00:00Z,2016-07-31T23:59:59Z
usa_neonserc,2017,2017-07-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neonserc,2019,2019-04-01T00:00:00Z,2019-04-30T23:59:59Z
usa_neonsjer,2013,2013-06-01T00:00:00Z,2013-06-30T23:59:59Z
usa_neonsjer,2017,2017-03-01T00:00:00Z,2017-03-31T23:59:59Z
usa_neonsjer,2018,2018-03-01T00:00:00Z,2018-03-31T23:59:59Z
usa_neonsjer,2019,2019-03-01T00:00:00Z,2019-03-31T23:59:59Z
usa_neonstei,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neonstei,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
usa_neonstei,2019,2019-05-01T00:00:00Z,2019-05-31T23:59:59Z
usa_neonstei,2020,2020-07-01T00:00:00Z,2020-07-31T23:59:59Z
usa_neontool,2017,2017-07-01T00:00:00Z,2017-07-31T23:59:59Z
usa_neontool,2018,2018-07-01T00:00:00Z,2018-07-31T23:59:59Z
usa_neontool,2019,2019-07-01T00:00:00Z,2019-07-31T23:59:59Z
usa_neontree,2016,2016-09-01T00:00:00Z,2016-09-30T23:59:59Z
usa_neontree,2017,2017-08-01T00:00:00Z,2017-08-31T23:59:59Z
